Customer_ID,Age,Annual_Income,Years_Experience,Education_Level,City,House_Price
CUST-1000,56.0,45743.084346456715,38.161081373136746,Bachelor,New York,396383.1013280305
CUST-1001,69.0,62128.60455383794,45.96981161634426, high school ,New York,523902.6181416151
CUST-1002,46.0,54900.455651582895,23.378284977579323,Bachelor,Los Angeles,412974.80375438696
CUST-1003,,90079.85977165378,8.484844282170767,PhD,UNKNOWN,441150.5510641943
CUST-1004,60.0,6980.603832139757,38.531960281786034,,Chicago,187869.70080307437
CUST-1005,25.0,81830.13703844923,4.932716748892669,High School,Houston,405855.8851541959
CUST-1006,38.0,84921.70384995258,18.974669033178202,MASTER,Los Angeles,455223.600447839
CUST-1007,56.0,18532.195351837014,34.84809795271495,Bachelor,Los Angeles,261318.38925327046
CUST-1008,36.0,53146.24811839302,14.360304953490312,bachelor,New York,348801.52379647177
CUST-1009,40.0,52571.18268008417,19.30351598449748,Bachelor,Phoenix,332212.14842506463
CUST-1010,28.0,31849.766105643575,5.329714196739954,High School,Houston,165642.42564608238
CUST-1011,28.0,44443.66624818249,11.179077443389547,High School,New York,277267.1594898735
CUST-1012,41.0,37788.483090683425,16.78467794576388,PhD,Los Angeles,303465.79486074636
CUST-1013,70.0,95045.40886847246,49.36948115779145,Bachelor,Los Angeles,
CUST-1014,53.0,,36.047212438459276,bachelor,Chicago,562358.5026562989
CUST-1015,57.0,85431.10189988317,36.01359968911999,Bachelor,UNKNOWN,598413.4127102924
CUST-1016,41.0,74433.4412808647,19.619921929997012,,Chicago,479162.37910779787
CUST-1017,20.0,,0.0,High School,Los Angeles,228847.34596224152
CUST-1018,39.0,49509.59467440453,17.639216636475183,Master,New York,389261.1740607363
CUST-1019,,69787.49122455835,51.74569694935306,High School,New York,565378.5001430954
CUST-1020,19.0,35557.44382216109,0.0,Master,New York,191247.78670167134
CUST-1021,41.0,74259.96860344776,23.06686740259265,Bachelor,New York,454459.50009209226
CUST-1022,61.0,55193.4920368373,37.15208569509971,High School,Chicago,451376.39236996224
CUST-1023,47.0,52503.58384900805,25.46669534153117,Master,Chicago,421488.04723603756
CUST-1024,55.0,74219.19936406983,33.141511159402675,Bachelor,New York,482285.5685182556
CUST-1025,19.0,68885.2662297208,0.0,High School,Houston,316957.4562296042
CUST-1026,38.0,52780.6766836184,13.803751296232505,Master,New York,
CUST-1027,50.0,83186.59606728496,29.924345332163885,PhD,Los Angeles,564613.6309718263
CUST-1028,29.0,38378.73344800205,12.048619246573704,Master,New York,243271.86708530335
CUST-1029,39.0,72318.71213888528,15.273651990814379,High School,Los Angeles,451115.21062544495
CUST-1030,61.0,71862.02515936768,40.37941233522079,High School,New York,544547.7462851177
CUST-1031,42.0,53809.07121372019,19.67603564440678,High School,Los Angeles,
CUST-1032,66.0,66522.66044484236,45.85177441238607,Bachelor,Los Angeles,537770.0350846183
CUST-1033,44.0,,23.038295554831503,High School,N/A,318155.4676366318
CUST-1034,59.0,78480.54038413802,36.71702618191138,PhD,New York,
CUST-1035,45.0,56301.95727114022,24.975744569742147,PhD,New York,410738.5203055441
CUST-1036,33.0,49545.539589619206,15.608696219573487,Master,New York,320514.22095687804
CUST-1037,,80980.18451673779,10.618192416545403,bachelor,Chicago,462326.5822054808
CUST-1038,64.0,45913.126189144816,44.43951588429636,High School,New York,426795.59404894366
CUST-1039,68.0,31830.774072728807,44.41345408425767,Bachelor,Houston,438178.0382181709
CUST-1040,61.0,28867.416529521925,38.087127246363984,Master,Los Angeles,340166.53206434014
CUST-1041,72.0,72120.1990269128,51.944812555760755,bachelor,Los Angeles,
CUST-1042,69.0,34391.41295007434,50.96823205707193,Bachelor,Chicago,390273.8293210494
CUST-1043,74.0,95095.8836396873,53.71122669757132, high school ,New York,11999981.330771765
